startupName,description,WebsiteLink
AHTAPOT APP,"Mevcut sosyal ağlar komunite üyelerinin hali hazırda hesaplarının olması sebebiyle tercih edilmesine karşılık, yapılan paylaşımların üyeler tarafından görünür olması için yatırım yapılması gerekiyor. Üye bilgilerinin yönetileblidiği bir çözüm sunulmaması komunite yöneticileri için iletişim için birbirbiriyle konuşmayan bir çok platformu kullanmayı gerektiriyor. Tek yönlü iletişim olan toplu SMS, detaylı iletişime olanak tanımayan email listeleri, anlık mesajlaşma çözümü olan whatsapp gruplarına alternatif olabilecek bir çözüm komunite yöneticileri ve üyeleri için önem arzetmektedir. Ahtapot Okto altyapısı ile hem komunite yöneticilerine kendi kontrollerinde olmayan farklı platformlara yatırım yapmak yerine tek bir altyapıyla iletişimlerini ve sürdürülebilirliklerini artırırken, komunite üyelerine de ait oldukları topluluktan daha çok değer üretmelerini sağlamaktadır. Üyeler komunite içerisindeki aradıkları kişilere ve ilanlara ulaşarak değer üretirler ve aidiyetlerini güçlendirirken,yöneticiler komuniteden aidat, etkinlik bileti gibi gelir modellerini güçlendirme imkanı bulurlar. Yenilikçi iş modeli sayesinde Okto platformu komunite yöneticileri mobil bir platform geliştirme maliyetlerinin çok altında sahip olabilmekteler. Üniversite öğrenci kulüpleri, meslek odaları, sivil toplum kuruluşları, mezun dernekleri, teknoparklar gibi hali hazırda komuniteleri öncelikli hedef müşteri olarak belirlenmesine karşın komunite oluşturma fikri olan girişimciler Okto altyapısıyla gelir modeli olan bir platforma sahip olabilecekler. Topluluk yönetimi, mobil yazılım ve iş geliştirme alanında tecrübeli bir ekip tarafından geliştirilen Okto ödeme sisteminden, eğitim videolarına kadar entegre bir çözüm sunmak hedefinde. Gelişen teknoloji ile birlikte Otomotiv, CCTV & Smartcity ve Perakande sektörlerinde video veri analizine duyulan ihtiyaç ve talep gün geçtikçe artmaktadır. Bu istesek de istemesek de bu tür teknolojilerin gelişimini sağlayabilmek ve pazar talebini karşılayabilmek adına etrafımızda daha fazla sayıda kameraların olacağı anlamına geliyor. Gelişen bu durum sonucu gizlilik arttırıcı teknolojilere yönelik ilgi ve talebin artmasıyla birlikte, pazardaki bu boşluğu erken döneminde fark eden Syntonym; bu alanlarda yazılım geliştirme faaliyetleri yürütmektedir. Syntonym tarafından geliştirilen yazılım ile insan yüzleri; yaş, cinsiyet, ifade, baş pozu gibi temel analitik değerler korunarak, geri döndürülemez bir şekilde, gerçekte hiç var olmamış yeni sentetik yüzlerle değiştirilmektedir. Bu şekilde kişisel veri içermeyen video veri setleri oluşturulabilmekte veya daha önceden kaydedilmiş video verileri; herhangi bir bildirim veya rızaya gerek kalmaksızın analitik amaçlarla ,dünya üzerinde kişisel verileri koruma hukuku mevzuatlarına uygun olarak, özgürce işlenebilmektedir. Syntonym gizlilik hakkının en temel insan haklarından biri olduğuna ve şirketlerin bu durumu rekabet avantajına çevirebileceğine inanmaktadır. Bir RegTech şirketi olarak, “Syntonymizasyon ile, teknolojinin gelişimini engellemeden ve insan haklarını ihlal etmeden bir yol bulmak her zaman mümkün. Veri analizi yapmayan eğitim kurumların aldığı kararlar sistematik olarak başarısızlık gösteriyor. Spiky.ai big-data ile oğrenimi anlamlaştıran ve nitelikli kurumsal kararlar aldıran yapay-zeka tabanlı modüler analiz platformudur. Spiky.ai kişisel ve veriye dayalı olması sebebiyle daha güvenilir bir karar mekanizmasını sürece entegre ediyor. Spiky.ai platformu giderek genişleyen bir ürün portfolyosuna sahiptir. (1) Performans kahini ile yüksek doğruluk oranına sahip ileri analizlerle risk grubundaki öğrencileri tespit edip, öğretmenleri daha proaktif hale getirebilirsiniz. (2) Sınav gözetmeni otomatik goz takibi ve özetleyici uyarı sistemi ile sınav gözetmenlik süresinde yüzde 90’a varan azalma sağlayın. (3) Duygu dedektifi ile ders boyunca duygu, ilgi ve uyku seviyesi takibi yapıp, öğrencileri nerelerde dikkatlerinin dağıldığı, hangi konuların tekrar edilmesi gerektiğini ve konuların zorluk seviyeleri gibi verileri geri bildirimini alın. Boston/Amerika merkezli kurucuları olan ve İzmir’de kurulan Spiky.ai, EduTech 5.0 devrimine öncülük etmeyi hedefliyor.",ahtapotapps.com/#01
ALGAE BIODIESEL,"Meinox, çeşitli kanser ve malignitelere yönelik yeni ilaç teknolojileri geliştirmektedir. Kurucusu Doçent Dr. Fatih Kocabaş’tır. MEISi, Meinox’un ilaç yapılı yenilikçi ilk ürünüdür. MEISi, hücre ve kanser metabolizmasında kritik rol oynayan, kardiyovasküler, diyabet ve obeziteyle ilişkili MEIS proteinlerini engellemektedir. İlaç AR&GE sektörüne sunduğu en önemli yarar, bu hastalıkların moleküler mekanizmalarını modüle etmeye yönelik araçlar sağlamaktır. MEISi, tıbbi ve veteriner uygulamalarda kişiselleştirilmiş tedavi sunabilme potansiyeli ile öne çıkmaktadır.",www.algbio.com
AUTONOM TGY,,www.autonom.com.tr
AXOLOTLBIO,"AxolotBio’nun geliştirdiği 3D Bioprinting Sistemi sayesinde hastalardan alınan kök hücreler kullanarak yapay doku ve organlar üretilebilmektedir. Girişim, Big Bang 2017 sahnesinde 440.000 TL değerinde ödül ve yatırım elde etmiştir. Hummingdrone, başta tarım sektörü olmak üzere endüstriyel ihtiyaçlara yönelik otonom insansız hava aracı çözümleri sunan bir girişimdir. Hummingdrone, geliştirdiği analiz yazılımı INSPECT ve sabit kanatlı otonom drone AG ile haritalama ve inceleme hizmeti sunuyor.",https://www.axolotlbio.com/
AYLARA POWER SOLUTİONS, About This Project,https://aylarapower.com/
Adgager,Türkiye'nin ilk deniz dalga enerji şirketi. Deniz dalgalarından elektrik üretimindeki tüm sorunları ortadan kaldırdık.,https://www.adgager.com/
Adrich,Kronik hastalık riskini azaltan sağlık veri analiz platformu,https://www.adrich.io/consumer-insights
Aduket,"Güneş ve rüzgar enerji kaynaklarından elektrik üretip ve depolayabilen, elektronik cihazlarınızı istediğiniz her yerde çalıştırabileceğiniz yeni nesil taşınabilir jeneratördür.",https://btm.istanbul/girisimler/aduket
Advoard Robotics,"Transafe marka/model bağımsız olarak bütün orta-ağır sınıf taşıtlara sonradan monte edilebilen bir sürüş güvenliği çözümüdür. Trafik kazalarında başat risk faktörü olan sürücüleri ileri teknoloji sensör ve haberleşme teknolojileri kullanarak uyarma ve destekleme prensibine dayanmaktadır. Transafe, ülkemiz şartlarında trafikte yoğun olarak yer alan ve hasar katsayısı yüksek olan orta-ağır sınıf taşıtlara yönelik olarak sunulmuşsa da, binek ve hafif ticari taşıtlara da rahatlıkla uygulanabilmektedir.",https://www.advoard.com/
Adwisy," Sports & Merits İstanbul, Ankara ve İzmir'de başlayan ve tüm Türkiye'ye yayılan, üyelerine her türlü antrenmanı her zaman her yerde yapma olanağı sunan eşsiz girişimdir. Üyeler/Kullanıcılar:",https://btm.istanbul/girisimler/adwisy
Agriverts,"Tekstil atıklarından geri kazanım yolu ile daha uygun fiyatlı, sağlık dostu ve çevre dostu bina cephe ısı yalıtım malzemesi üreten girişimdir.",https://agriverts.com/
Ahtapot," Kolayyika.com kuru temizleme, halı ve koltuk yıkama, ilaçlama ve dezenfektan hizmetlerini bir arada sunan hizmet platformudur.",https://ahtapotsosyalmedya.com/
Aikido Security,Merkeziyetsiz uygulamalar için blockchain entegrasyon platformu,https://www.aikido.dev/
Airsqreen,"Birkaç tıkla istediğiniz ülkede ve şehirde, istediğiniz dijital ekranda kolayca, ölçülebilir reklam verebilmenizi sağlıyoruz. Veri partnerlerimiz sayesinde ekran etrafındaki yoğunluğu analiz ederek ekran seçimi konusunda tavsiyede bulunabiliyor, ya da reklamı belli bir hedef kitle yoğunlaştığında gösterebiliyoruz. Hangi ekranda reklam gösteriliyor, kaç defa gösterilmiş, gerçek zamanlı olarak raporlayabiliyoruz. Kısacası internet reklamcılığında var olan ileri reklam teknolojilerini açıkhava reklamcılığına getiriyoruz. About This Project  IUGO, altyapıdan (yol, çevre, vs…) ve araçtan (OBD üzerinden gerçek zamanlı araç bilgileri) gelen verilerin bulut’a aktarılması ile sürücü davranışlarının incelenmesi; tüm bu verilerin kullanılmasıyla sürücü alışkanlıklarının ve gidilecek rotanın öğrenilmesi ve bu öğrenen algoritmalar sayesinde hem sürüş sırasında sürücüye anlık gelişmiş destek ve tavsiyelerin verilmesi, hem de sürüş sonrası detaylı sürüş raporlarının çıkarılması projesidir.",www.airsqreen.com
Ajanssy,Şimdiye kadar sanal dünyayı koltuklarında oturarak deneyimleyen bilgisayar ve vr gözlük kullanıcılarını geliştirilen sensörler sayesinde özgürce yürüyebilecekleri sanal dünyayı daha gerçekçi bir şekilde deneyimleme imkanı sunuyor.,https://ajanssy.com/
Ak Portföy — AGN GSYF,"Türkiye'nin önde gelen yatırım holdingi, stratejik ortaklık",https://akportfoy.com.tr/
Aktivo Labs,Otomotiv sektörüne özel dijital ödeme çözümü,https://aktivolabs.com/
Akıllı Magnet," “Touchless Order” konsepti Akıllı Magnet ile ortaya çıkmış ve tüketiciler tarafından yoğun ilgi göreceğine inanmaktayız.   Marka bilinirliğini arttırmak için magnet üzerine entegre ettiğimiz çözümümüzü, işletmelerin restaurant, mağaza veya istasyonlarında bulunacak görseller ile de entegre edebiliyoruz. Her zaman müşterilerimize söylediğimiz gibi, tüketiciler ciddi fiyatlar ile akıllı telefonlar satın alıyorlar. Örneğin bir müşteri memnuniyet anketi yapmak için tüketicinin yaptığı yatırımın benzerini bir tablet alarak yapmanın çok da doğru olmadığını savunuyoruz. Akıllı telefonlar bildiğiniz gibi bir tablet, bir tv. Kısacası ne olmasını istiyorsanız odur. Önemli olan tüketicinin akıllı telefonlarını kullanabilmektir. Böylece işletmelerin tabletlere yapmaları gereken ilk yatırım ve işletme maliyetleri ortadan kalkacaktır. Akıllı Magnet projesi tam olarak bu ihtiyaca cevap verebilmektedir. Dakikalar içinde mağazaların istediğiniz bir noktasını müşteri değerlendirme veya kampanya tanıtım noktası haline getirebilirsiniz. Ve bunun için hiç bir alt yapı çalışması yapmanıza gerek bulunmamaktadır.  About This Project  TÜRKİYE’NİN EN GÜZEL TASARIMLARI DÜNYANIN DÖRT BİR YANINDAKİ TASARIM MERAKLILARI İLE BULUŞUYOR!",http://www.roitech.com.tr/
Akıllı Mantar,"Postuby “sosyal medyada ne paylaşsam?” derdini ortadan kaldıran, abonelerine paylaşmaya hazır içerikleri yapay zeka desteği ile birlikte sunan bir platformudur.",https://akillimantar.com/
AkıllıBes,"Tüm katılımcıları “hızlı değil güvenli biçimde varış noktasına ulaştırmak” amacında olan platform sadece 5 dakikada emekli olana kadar hiçbir şey yapılmasına gerek kalmayan altyapısı ile finansal teknolojiler alanında önemli bir inovasyon yaratıyor. BIMCRONE, bir yapı projesinin tüm süreçlerini gerçek zamanlı izlenebilir, raporlanabilir, gerçek zamanlı veri ile yönetebilir hale getiren bulut yazılım çözümüdür. Tüm çalışanlarınızı ve verilerinizi tek bir platformda birbirine bağlar; maliyet, kaynak ve zaman kaybını önlerken projelerinizin kalitesini ve verimliliğini artırmaktadır. Gene-us Biyoteknoloji olarak yenilikçi Ar-Ge alt yapısı ile toplum sağlığına hizmet eden yeni nesil çalışmalarla ilerlemeyi hedefliyoruz. Kanser, genetik ve epidemik hastalıklar gibi tanının önem teşkil ettiği durumlarda kullanılacak olan yeni nesil hızlı ve yüksek doğruluk sonucu veren tanı kitleri üretiyoruz.",https://www.akillibes.com.tr/tr
Akıllıfon,"1992 yılında kurulmuş bir yazılım şirketiyiz. 1995 yılından bu yana, ağırlıklı olarak Tekstil Sektörüne yönelik yazılım çözümleri üretiyoruz. Tekstilde dijitalleşme ihtiyaçlarının farkındayız. Yıllara dayalı sektör tecrübemiz ile bu doğrultuda uzun vadeli çözüm ortaklığı ve danışmanlık hizmetleri vermekteyiz. Geliştirdiğimiz Yapay Zeka ve Metaverse yazılımlarımızın yanı sıra dünyanın en gelişmiş ""Style3D"" giysi tasarımı ve ""Style Fabric"" kumaş tarama yazılımlarının Türkiye distribütörlüğünü yapmaktayız.",https://btm.istanbul/girisimler/akilli-fon
AliveX,Ucuzaarac.com farklı araç kiralama firmaları tarafından sunulan kiralık araç tekliflerine yönelik bir arama ve fiyat karşılaştırma sitesidir. Birçok araç kiralama sitesinden farklı teklifleri karşılaştırıp gösterir ve kullanıcı özel fırsatlara tıkladığında araç kiralama firmalarının sitelerine yönlendirir. Rezervasyon yaptırdığınız kiralama firması ile kullanıcı arasındaki hiçbir rezervasyon sözleşmesinde taraf değildir. Araç kiralama için herhangi bir ödeme almaz ve rezervasyon sitesi ile araç kiralama firması tarafından sunulan hizmetlerden sorumlu değildir. Ucuzaarac.com üzerinde görüntülenerek online tekliflerini tüketiciye ulaştıran şirketler ve kullanıcılar işlemleri kendi aralarında gerçekleştirmektedir. Ucuzaarac.com Türkiye çapında yüksek kalitede hizmet sağlama taahhüdünde bulunabilecek araç kiralama firmaları ile çalışır.,https://www.alivex.com/
AlmanPay,"TÜBİTAK BiGG 1512 destek programı yürütücülüğü, fonlama, eğitim, mentorluk",https://www.almanpay.com/
Amfiden,BiBip %100 elektrikli yapay zeka destekli paylaşımlı araç platformudur. Küçük boyutlu araçlardaki QR kod uygulamadan okutularak pratik bir kullanım sağlamaktadır. Aynı zamanda park ve trafik sorunlarının önüne geçilmektedir.,https://btm.istanbul/girisimler/amfiden
Anneler Satıyor,"ResultLab.ai diş hekimliğinde tanı, tedavi planlaması ve raporlama ile eğitim modülü oluşturabilecek, diş sağlığı hizmeti veren kurumların radyolog ihtiyacını karşılayacak panoramik röntgen cihazlarına entegrasyon ile anlık analiz yaparak yanlış tanı ve tedavi planlamalarına yapay zeka çözümleri üretmektedir.",https://www.annelersatiyor.com/
Apillon,"İlaç, biyoteknoloji, perakende sektörüne özel eğitim programları",https://wiki.apillon.io
Aquinas,Seyahat eden aileler için bebek ekipman kiralama hizmeti,https://www.aquinaslg.com/
Arabamo,"Robust Dye nanoteknoloji alt yapısı ile bütünleşmiş akıllı boyadır. Robust Dye boyaları %82 oranında elektrik ve ısı iletkenliğine sahip, ısıtma yöntemlerinde yalıtım sağlayarak %25 oranında tasarruf sağlamakta, aynı zamanda pazarda mevcut bulunan farklı tür ve teknolojiye sahip diğer boyalardan aşınma, darbe, kullanım süresi gibi benzer etkenlere %94 oranında daha fazla dayanıklılık göstermektedir.",https://btm.istanbul/girisimler/arabamo
AracımaDair.com," Türkiye'nin ilk Dijital Güzellik Asistanı Melo, bir kozmetik mağazasına gitmeden ya da internette kanal kanal gezmeden, kozmetik sektöründe kişiselleştirilmiş ürün ve hizmetler bulmanın inovatif ve eğlenceli yollarını sunan bir web ve mobil uygulamadır.",https://btm.istanbul/girisimler/aracimadaircom
Arche Robotics,"Yapay zeka destekli istatistiksel arbitraj algoritması ile her türlü finansal enstrümanın içinde yer alabildiği portföyler oluşturan RiskOptima yaklaşık 2,5 yıllık Ar-Ge çalışması sonrasında hayata geçirilmiş bir platformdur.",https://archerobotics.com/
Archmir, “Sağlık sektörü Türkiye’de hızla büyüyor. Sektöründe deneyimli girişimciler tarafından kurulan BulutKlinik.com sağlık alanında ortaya çıkmış en iyi girişim olarak karşımıza çıkıyor.,www.archmir.ai
Argist,"Yer, zaman farkı olmadan uygun fiyata görüntülü özel ders veya canlı kurs yöntemiyle uzman eğitmenlerden ders alınan platform.",https://argist.com
Arvia," Çok kolay ve hızlı bağlanabilme avantajı! Sadece 4 satır kod ile kendi siteniz üzerinden bu servisi kullanabilir, tüm verileri, aktiviteleri raporlayabilir; takibini ve analizini yapabilirsiniz.  Operasyonel maliyeti azaltır. Farklı dil veya yetkinlikteki personele ihtiyaç duyan firmalar merkezde bulunan temsilciler ile şubelerde bulunan müşterilerine çevrimiçi hizmet vererek her şubeye bir personel tahsis etme zorunluluğundan kurtulur ve daha az personel ile daha fazla müşteriye hizmet verebilir.  Müşteri memnuniyeti sağlar. Müşteriler sorun yaşadıkları servis veya ürün ile ilgili olarak müşteri temsilcisine şubelerde bulunan görüntülü görüşme çözümleri ile bağlanarak hızlı ve verimli bir şekilde destek alabilirler.  Hızlı ve olgunlaşmış çözüm. Karmaşık bir yapıda olan ve ayrı bir uzmanlık gerektiren video iletişim teknolojileri, Arvia ekibinin yıllar içinde edindiği deneyim sayesinde kolayca entegre edilebilir ve hatalardan arındırılmış bir çözüm olarak sunulmuştur. Bu çözümü kendisi geliştirmek isteyen firmalar maliyetli, uzun ve yorucu bir süreçten geçmek zorundadırlar.  Her zaman güncel. Sürekli gelişen ve değişen video teknolojileri sebebiyle görüntülü görüşme projelerinin sürdürülebilirliği için bir bakım ve destek ekibi bulundurulması gerekmektedir. Arvia ekibi gelişen video iletişim teknolojilerini sürekli takip ederek her zaman en güncel ve gelişmiş metodları kullanır.  Global – Uzaktan satış ekipleri, sağlık kurumları, avukatlık hizmetleri, sigorta ve ekspertiz hizmetleri, tamir öncesi sorgulama servisleri. Kısacası yüz yüze görüşmeye ihtiyaç duyulan her konu için Arvia üzerinden görüntülü olarak daha hızlı, güvenli ve kaliteli iletişim sağlanabilir.  Gelişmiş Web SDK Özelleştirilebilir Hazır Arayüz Diğer Sistemlere Entegrasyon Tak-Çalıştır Modüller Link ile Hızlı Giriş ve daha birçok özelliğiyle Arvia’yı tek tıkla deneyimleyebilirsiniz. B-PREG otomotiv sektöründe araçların hafifletilmesine yönelik doğal elyaf takviyeli termoplastik kompozit malzemeler geliştirmekte ve üretmektedir. Yakıt tüketimi ve CO2 emisyonunu azaltmak, elektrikli araçların menzilini artırmak için, otomotiv sektörünün en önemli çalışma alanlarından biri araçların hafifletilmesi. Sektör, araçlarda ihtiyaç duyulan yüksek mekanik ve akustik performansı sağlayan, daha hafif ve daha ince malzemelerin peşinde.",https://arvia.chat
Arya Women,Stratejik ortaklık ve yatırım ağı,https://aryawomen.com/
Arıkovanı,SPK onaylı paya dayalı kitle fonlama platformu,"https://arikovani.com/ (aktif değil, kapanmış olabilir)"
Ashoka Turkey,"Ağ, liderlik, networking, eğitim etkinlikleri",https://ashoka.org.tr/
Aslanoba Capital,,https://aslanobacapital.com/
Assistbox," Selfcargo kargo ve kurye taşımacılığını tüm dünyada bireysel hala getiren pazaryeri mobil uygulamasıdır. Normal kargoların yapamadığı( pazarlık, kendi namına çalışma, çoklu dil ve para birimi, anlık takip, taşıyıcı ve müşteri puanlama vb) ve istenilen birçok özellik ile kullanıcıların refahını artırmayı planlamaktadır.",https://assistbox.io/
Atom,"Laboratuvar altyapısı, ön kuluçka/kuluçka desteği, AR-GE iş birlikleri",https://atom.org.tr/
Atölyelik,"Kurumların, şahısların ve şirketlerin kiralama, depolama, eşya sigortalama ve nakliyat anlamındaki her türlü taşıma ihtiyaçlarını daha güvenli, uygun fiyatlı ve hızlı bir şekilde kolayca yapabilmelerini sağlayan dijital nakliye uygulamasıdır.",https://btm.istanbul/girisimler/atolyelik
Aufinity Group,İlaçlara erişimi kolaylaştıran global sağlık pazaryeri,https://www.aufinity.com/
Avantajbizde,Selfprof çeşitli meslek grupları ve sektörlere özel dijital çözümler sunan bir platformdur. Herhangi bir tasarım bilgisi gerekmeden meslek/sektöre özel akışıyla profesyonel siteler ve dijital içerikler oluşturmak isteyen bireyler ve kurumlar için en kolay çözümü sunar.,https://www.avantajbizde.com/
Avokadio,"FORMulate grubu, polimer kimyacıları ve malzeme mühendislerinden oluşan uluslararası (Almanya-Türkiye) düzeyde altyapıya sahip bir ekiptir. Projemiz sonunda parça başına 2 dakikadan az üretim süresi sağlayan ve bu özelliği ile seri otomotiv üretimine uygun, özel prepreg reçine sistemleri optimize edilecek ve üretilecektir. Bu malzemeler, otomotiv kompozit malzeme üretiminde direkt olarak kullanılabilecek ve ihracatta ülke ekonomisine önemli kazanım sağlayacaktır. Proje sonunda elde edilmesi planlanan ürünler, Türk otomotiv kompozit parça üreticilerinin uluslararası pazardaki yeri ciddi oranda artacaktır. Proje, ön deney asamasinda olup, Nisan 2016’da 180 °C ’de 5 dakikadan az üretime olanak saglayan recine sistemi, su anki durumda 140 °C’ de 1 dakikanin altinda reaksiyona girmektedir. Otomotiv sektörüne özel polimer sistemlerinden elde edilecek olan tecrübe, havacilik, rüzgar ve yapi sanayiine de tasinacaktir. Böylece, FORMulate grubu, Türkiye’nin ilk katma degeri yüksek termoset recinecisi olmayi hedeflemektedir.",avokad.io
Axmed,Brezilya merkezli aynı gün teslimat çözümleri,https://axmed.com/
